year,country,gdp_tier,industry,company_size,num_employees,rd_spend_pct_gdp,internet_penetration_pct,digital_maturity_index,ai_adoption_rate,adoption_level
2024,Mexico,2,Manufacturing,Medium,157,1.72,80.4,62.7,54.54,Medium
2022,Egypt,1,Media & Entertainment,Large,38895,1.13,40.6,46.2,49.27,Medium
2021,China,2,Education,Small,30,1.81,69.1,55.6,28.81,Low
2023,South Africa,1,Automotive,Medium,990,1.34,59.2,50.2,50.26,Medium
2020,Morocco,1,Retail,Large,13711,0.96,57.0,65.3,21.8,Low
2023,United Kingdom,3,Legal,Large,7403,2.65,99.0,94.3,69.18,High
2020,China,2,Automotive,Small,12,2.31,85.3,85.3,27.41,Low
2025,India,1,Manufacturing,Medium,515,2.34,63.7,51.8,74.91,High
2022,Sweden,3,Manufacturing,Large,40334,3.08,99.0,100.0,77.88,High
2024,Morocco,1,Agriculture,Medium,492,0.68,70.8,52.8,42.76,Medium
2024,Canada,3,Media & Entertainment,Medium,883,2.48,99.0,99.3,85.19,High
2022,Canada,3,Manufacturing,Medium,275,2.74,99.0,84.4,59.99,High
2024,South Africa,1,Technology,Medium,649,1.35,61.6,46.7,61.1,High
2021,South Korea,3,Manufacturing,Medium,827,2.74,94.2,91.3,58.14,High
2022,Israel,3,Gaming,Medium,874,2.28,95.2,91.2,81.37,High
2024,South Korea,3,Agriculture,Medium,115,2.71,98.7,76.3,50.27,Medium
2021,Singapore,3,Retail,Medium,212,2.34,96.3,75.9,53.17,Medium
2020,Netherlands,3,Government,Small,42,2.61,99.0,92.5,22.77,Low
2022,Japan,3,Technology,Small,74,2.39,99.0,100.0,50.75,Medium
2023,Israel,3,Media & Entertainment,Medium,239,2.79,98.0,82.7,75.34,High
2023,Nigeria,1,Media & Entertainment,Medium,845,1.1,60.2,33.7,34.93,Medium
2022,Singapore,3,Retail,Large,20050,2.62,99.0,100.0,81.25,High
2019,Israel,3,Education,Medium,159,3.03,99.0,98.9,31.29,Medium
2020,Mexico,2,Education,Large,1496,1.95,80.5,62.9,23.21,Low
2024,Mexico,2,Healthcare,Medium,395,1.55,87.8,84.1,74.89,High
2021,Japan,3,Technology,Large,21180,2.49,88.5,99.2,92.19,High
2025,Singapore,3,Gaming,Large,41264,2.0,97.1,95.0,97.0,High
2024,Egypt,1,Media & Entertainment,Small,67,0.99,50.2,42.9,49.61,Medium
2023,France,3,Healthcare,Small,5,2.08,84.2,100.0,51.15,Medium
2023,Israel,3,Retail,Small,30,3.39,96.6,94.9,51.26,Medium
2018,Canada,3,Financial Services,Medium,324,2.17,88.3,93.7,37.39,Medium
2024,Japan,3,Media & Entertainment,Medium,187,2.79,99.0,96.6,87.82,High
2025,Sweden,3,Legal,Small,32,2.81,99.0,82.2,58.43,High
2023,Netherlands,3,Financial Services,Medium,236,2.94,97.8,85.2,78.11,High
2021,Japan,3,Education,Medium,148,2.71,90.0,95.0,31.35,Medium
2019,Brazil,2,Legal,Medium,457,1.75,86.0,70.8,21.79,Low
2020,United States,3,Manufacturing,Small,48,2.76,99.0,100.0,37.97,Medium
2020,Canada,3,Retail,Small,84,2.29,99.0,82.4,28.65,Low
2019,Singapore,3,Legal,Small,23,2.47,89.1,74.9,10.23,Low
2022,Morocco,1,Agriculture,Medium,716,1.47,52.5,47.8,20.49,Low
2022,Australia,3,Financial Services,Medium,533,3.16,99.0,84.6,55.65,High
2025,Germany,3,Manufacturing,Large,23072,2.75,96.9,94.5,97.0,High
2022,India,1,Retail,Medium,391,1.28,69.9,43.0,44.93,Medium
2018,Australia,3,Gaming,Medium,743,2.64,94.8,100.0,33.33,Medium
2024,Mexico,2,Financial Services,Small,59,2.06,84.2,73.3,57.61,High
2019,South Korea,3,Manufacturing,Large,6285,2.36,99.0,82.2,47.63,Medium
2019,China,2,Retail,Medium,109,2.13,71.9,72.0,31.55,Medium
2021,Sweden,3,Retail,Small,7,2.98,94.8,92.0,35.47,Medium
2019,Japan,3,Gaming,Medium,961,2.81,95.1,93.0,45.1,Medium
2022,Nigeria,1,Legal,Large,18459,1.43,56.2,30.5,33.04,Medium
2018,Germany,3,Gaming,Small,13,2.45,97.8,93.7,24.03,Low
2025,France,3,Agriculture,Large,2144,2.43,93.9,74.6,63.54,High
2022,France,3,Automotive,Small,29,2.77,99.0,96.4,46.12,Medium
2019,United Kingdom,3,Retail,Large,16329,2.58,99.0,100.0,53.82,Medium
2025,Nigeria,1,Technology,Large,44307,1.59,45.5,62.6,72.79,High
2020,United Kingdom,3,Gaming,Large,12595,2.91,99.0,99.7,89.72,High
2021,Egypt,1,Manufacturing,Small,92,1.27,73.6,60.0,24.33,Low
2025,Sweden,3,Retail,Small,43,2.56,99.0,95.5,82.7,High
2021,Morocco,1,Financial Services,Small,63,0.82,43.7,57.6,23.47,Low
2021,Germany,3,Technology,Medium,711,2.57,97.6,90.2,68.0,High
2019,Netherlands,3,Retail,Large,22542,2.5,94.2,100.0,66.77,High
2019,Singapore,3,Technology,Large,19226,2.9,99.0,81.8,75.85,High
2024,Mexico,2,Automotive,Small,52,1.43,83.5,63.9,46.98,Medium
2021,Nigeria,1,Retail,Small,54,1.72,62.6,51.2,8.21,Low
2018,Japan,3,Technology,Small,45,2.4,99.0,94.5,23.92,Low
2020,South Africa,1,Healthcare,Small,18,0.83,61.6,45.4,22.88,Low
2019,Brazil,2,Gaming,Small,81,1.73,75.2,75.1,15.61,Low
2024,China,2,Automotive,Medium,433,1.93,79.7,62.1,80.55,High
2024,Sweden,3,Healthcare,Medium,536,2.34,93.7,93.8,92.63,High
2018,Egypt,1,Manufacturing,Large,45919,1.33,74.5,74.9,27.79,Low
2025,Morocco,1,Media & Entertainment,Medium,961,1.08,53.0,62.6,56.09,High
2021,India,1,Financial Services,Large,40501,1.41,70.9,42.2,67.98,High
2024,Sweden,3,Automotive,Medium,291,2.57,97.3,90.7,89.11,High
2019,Japan,3,Retail,Large,33078,3.0,96.2,83.8,56.14,High
2023,Sweden,3,Automotive,Medium,761,2.28,99.0,96.7,71.78,High
2019,Netherlands,3,Education,Medium,404,2.59,91.9,88.1,34.22,Medium
2021,France,3,Financial Services,Medium,782,2.17,99.0,67.8,58.89,High
2023,China,2,Education,Medium,996,1.99,62.7,72.6,55.13,High
2019,South Africa,1,Agriculture,Small,58,1.32,56.5,55.5,2.0,Low
2020,Brazil,2,Media & Entertainment,Large,47883,2.31,67.9,63.6,38.29,Medium
2018,United Kingdom,3,Agriculture,Large,28167,2.07,99.0,95.5,13.07,Low
2019,Nigeria,1,Legal,Medium,678,1.12,56.8,49.9,2.0,Low
2021,Sweden,3,Agriculture,Large,44455,2.59,99.0,85.4,42.05,Medium
2020,Canada,3,Government,Medium,631,2.32,88.1,89.9,31.84,Medium
2021,Brazil,2,Education,Large,20058,2.04,65.3,68.8,46.11,Medium
2019,Brazil,2,Technology,Medium,402,1.56,81.9,67.4,33.88,Medium
2018,Japan,3,Financial Services,Large,6678,2.35,99.0,86.4,61.84,High
2020,Egypt,1,Manufacturing,Large,23368,1.19,67.1,59.5,30.11,Medium
2019,Japan,3,Government,Medium,923,2.4,87.1,81.1,16.45,Low
2019,United Kingdom,3,Education,Small,33,2.94,95.3,100.0,14.88,Low
2023,Germany,3,Agriculture,Small,61,2.45,99.0,93.1,26.47,Low
2025,Singapore,3,Education,Large,44039,2.87,99.0,90.5,94.3,High
2025,United States,3,Education,Small,61,2.61,82.6,82.6,72.54,High
2022,Sweden,3,Automotive,Small,60,3.07,96.2,88.5,48.15,Medium
2023,South Africa,1,Media & Entertainment,Small,76,0.9,65.5,68.2,36.31,Medium
2022,Singapore,3,Gaming,Medium,132,2.34,94.4,100.0,66.96,High
2019,France,3,Government,Medium,346,2.49,98.8,84.8,17.88,Low
2020,Australia,3,Gaming,Large,1900,2.94,99.0,98.3,57.77,High
